Phylum	Sub Phylum	Class	Order	Family	Genus	Species	Common Name	C-value	Chrom num	Method	Cell type	Std sp	References
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Scopula	Scopula limboundata	Larger lace border moth	0.46		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Semiothisa	Semiothisa bisignata	Red-headed inchworm moth	0.34		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown	Unknown sp.1	Geometer moth	0.48		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown	Unknown sp.2	Geometer moth	0.49		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown	Unknown sp.3	Geometer moth	0.51		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown	Unknown sp.4	Geometer moth	0.84		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Xanthotype	Xanthotype sospeta	Geometer moth	0.32		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Heliconiidae	Heliconius	Heliconius erato petiverana	Crimson-patched longwing butterfly	0.41		FCM	BR	DM	"Tobler, A., D. Kapan, N.S. Flanagan, C. Gonzalez, E. Peterson, C.D. Jiggins, J.S. Johnston, D.H. Heckel, and W.O. McMillan (2005). First-generation linkage map of the warningly colored butterfly Heliconius erato. Heredity 94: 408-417."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Heliconiidae	Heliconius	Heliconius melpomene	Postman butterfly	0.30		FCM	BR	DM	"Jiggins, C.D., J. Mavarez, M. Beltran, W.O. McMillan, J.S. Johnston, E. Bermingham (2005). A genetic linkage map of the mimetic butterfly Heliconius melpomene. Genetics 171: 557-570."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Lasiocampidae	Malacosoma	Malacosoma americana	Eastern tent caterpillar moth	0.51		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Lasiocampidae	Malacosoma	Malacosoma disstria	Forest tent caterpillar moth	0.57		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Lycaenidae	Jalmenus	Jalmenus evagoras	Common imperial blue butterfly	0.23		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Lymantriidae	Lymantria	Lymantria dispar	Gypsy moth	1.03		NS	NS	NS	"Petitpierre, E. (1996). Molecular cytogenetics and taxonomy of insects, with particular reference to the Coleoptera. International Journal of Insect Morphology & Embryology 25: 115-133."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Busseola	Busseola fusca	Maize stalk borer	0.97		FCM	BR	DV	"Calatayud, P.-A., C. Petit, N. Burlet, S. Dupas, N. Glaser, C. Capdevielle-Dulac, B. Le Ru, E. Jacquin-Joly, L. Kaiser-Arnauld, M. Harry, and C. Vieira (2016). Is genome size of Lepidoptera linked to host plant range?. Enntomologia Experimentalis et Appli"
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Busseola	Busseola nairobica	Owlet moth	0.91		FCM	BR	DV	"Calatayud, P.-A., C. Petit, N. Burlet, S. Dupas, N. Glaser, C. Capdevielle-Dulac, B. Le Ru, E. Jacquin-Joly, L. Kaiser-Arnauld, M. Harry, and C. Vieira (2016). Is genome size of Lepidoptera linked to host plant range?. Enntomologia Experimentalis et Appli"
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Busseola	Busseola segeta	Owlet moth	0.86		FCM	BR	DV	"Calatayud, P.-A., C. Petit, N. Burlet, S. Dupas, N. Glaser, C. Capdevielle-Dulac, B. Le Ru, E. Jacquin-Joly, L. Kaiser-Arnauld, M. Harry, and C. Vieira (2016). Is genome size of Lepidoptera linked to host plant range?. Enntomologia Experimentalis et Appli"
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Caenurgina	Caenurgina crassiuscula	Owlet moth	1.50		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Calophasia	Calophasia lunula	Owlet moth	0.69		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Cerma	Cerma cerintha	Tufted bird dropping moth	1.05		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Condica	Condica videns	White-dotted groundling moth	0.54		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Cucullia	Cucullia intermedia	Owlet moth	0.46		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Eudryas	Eudryas grata	Beautiful wood nymph moth	0.38		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Heliothis	Heliothis virescens	Tobacco budworm moth	0.41		FCM	V	"GD, OM"	"Taylor, M., J. Zawadzki, B. Black, and M. Kreitman (1993).  Genome size and endopolyploidy in pyrethroid-resistant and susceptible strains of Heliothis virescens (Lepidoptera: Noctuidae).  Journal of Economic Entomology 86: 1030-1034."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Lacinipolia	Lacinipolia renigera	Owlet moth	0.60		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Macronoctua	Macronoctua onusta	Iris borer moth	0.67		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Noctua	Noctua pronuba	Large yellow underwing moth	0.57		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Panthea	Panthea pallescens	Tufted white pine caterpillar moth	0.86		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Papaipema	Papaipema nepheleptena	Owlet moth	0.66		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Raphia	Raphia frater	Brother moth	0.74		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Sesamia	Sesamia calamistis	African pink stem borer	0.98		FCM	BR	DV	"Calatayud, P.-A., C. Petit, N. Burlet, S. Dupas, N. Glaser, C. Capdevielle-Dulac, B. Le Ru, E. Jacquin-Joly, L. Kaiser-Arnauld, M. Harry, and C. Vieira (2016). Is genome size of Lepidoptera linked to host plant range?. Enntomologia Experimentalis et Appli"
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Sesamia	Sesamia nonagrioides	Mediterranean corn borer	0.97		FCM	BR	DV	"Calatayud, P.-A., C. Petit, N. Burlet, S. Dupas, N. Glaser, C. Capdevielle-Dulac, B. Le Ru, E. Jacquin-Joly, L. Kaiser-Arnauld, M. Harry, and C. Vieira (2016). Is genome size of Lepidoptera linked to host plant range?. Enntomologia Experimentalis et Appli"
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Unknown	Unknown sp.1	Owlet moth	0.64		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Unknown	Unknown sp.2	Owlet moth	0.90		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Unknown	Unknown sp.3	Owlet moth	0.99		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Xestia	Xestia c-nigrum	Spotted cutworm moth	0.78		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Notodontidae	Gluphisia	Gluphisia septentrionis	Common Gluphisia	0.36		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Notodontidae	Heterocampa	Heterocampa bilineata	Prominent moth	0.60		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Notodontidae	Nadata	Nadata gibbosa	White-dotted prominent moth	0.33		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Notodontidae	Peridea	Peridea basitriens	Oval-based prominent moth	0.36		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Notodontidae	Unknown	Unknown sp.	Prominent moth	0.46		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Nymphalidae	Hypolimnas	Hypolimnas bolina	Great eggfly	0.45		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Nymphalidae	Limenitis	Limenitis arthemis	White admiral butterfly	0.39		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio canadensis	Canadian tiger swallowtail butterfly	0.44		FIA	HE	TM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio cresphontes	Giant swallowtail	0.24		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio glaucus	Easter tiger swallowtail butterfly	0.44		FIA	HE	TM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio polyxenes	Black swallowtail	0.26		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Prodoxidae	Tegeticula	Tegeticula corruptrix	Yucca moth	0.37		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Prodoxidae	Tegeticula	Tegeticula yuccasella	Yucca moth	0.40		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Pterophoridae	Unknown	Unknown sp.1	Plume moth	0.88		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Pterophoridae	Unknown	Unknown sp.2	Plume moth	0.59		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis nuxvorella	Pecan nut casebearer	0.73		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Pyralidae	Galleria	Galleria melonella	Wax moth	0.50		FD	"HE, S"	"DM, GD, OM"	"Rasch, E.M. (1985). DNA ""standards"" and the range of accurate DNA estimates by Feulgen absorption microspectrophotometry. In: Advances in Microscopy, edited by R.R. Cowden and S.H. Harrison. Alan R. Liss, New York, pp.137-166."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Saturniidae	Actias	Actias luna	Luna moth	0.56		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Saturniidae	Antheraea	Antheraea pernyi	Chinese oak silkmoth	1.00		FD	TS	DM	"Efstratiadis, A., W.R. Crain, R.J. Britten, E.H. Davidson, and F.C. Kafatos (1976). DNA sequence organization in the lepidopteran Antheraea pernyi. Proceedings of the National Academy of Sciences of the USA 73: 2289-2293."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Saturniidae	Antheraea	Antheraea polyphemus	Polyphemus moth	0.54		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Saturniidae	Automeris	Automeris io	Io moth	0.48		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Satyridae	Bicyclus	Bicyclus anynana	African butterfly	0.49		FIA	"HE, S"	"DM, TM"	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius cingulata	Sweet potato hornworm	0.48		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Ceratoma	Ceratoma undulosa	Waved sphinx moth	0.47		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Darapsa	Darapsa myron	Virginia creeper sphinx	0.64		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Daraspsa	Daraspsa pholus	Azalea sphinx	0.58		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Eumorpha	Eumorpha vitis	Vine sphinx	0.44		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Hyles	Hyles lineata	White-lined sphinx	0.46		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Manduca	Manduca sexta	Carolina sphinx	0.43		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Pachysphinx	Pachysphinx modesta	Modest sphinx	0.46		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Paonias	Paonias excaecatus	Blinded sphinx	0.58		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Paonias	Paonias myops	Small-eyed sphinx	0.63		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Smerinthus	Smerinthus jamaicensis	Twin-spotted sphinx	0.68		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Yponomeutidae	Atteva	Atteva punctella	Alianthus webworm	0.66		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
