Family	Genus	Species	Subspecies	hap	Reference
Arctiidae	Spilosoma	menthastri		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Spilosoma	obliqua		31	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."
Arctiidae	Spilosoma	punctaria		34	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Stigmatophora	flava		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Tyria	jacobaeae		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Utetheisa	ornatrix		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Utetheisa	ornatrix	bella	31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Utetheisa	ornatrix	stretchii	31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Utetheisa	pulchella		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Bombycidae	Bombyx	mandarina		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Bombycidae	Bombyx	mori		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Bombycidae	Theophila	religiosae		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Carposinidae	Carposina	niponensis		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Cymatophoridae	Thyatira	batis		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Danaidae	Euploea	core		30	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."
Danaidae	Euploea	leuctostictos		30	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Euploea	mulciber		29	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Euploea	sylvestor		29	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Euploea	tulliolus		29	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Euploes	mulciber	barsine	29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Danaidae	Idea	leuconoe	clara	30	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Parantica	aglea		33	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."
Danaidae	Parantica	melaneus	swinhoei	22	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Radena	similis		13	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Danaidae	Tirumala	hamata		31-36	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."
Danaidae	Tirumala	limniace		33	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."
Danaidae	Tirumata	limniace		37	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."
Eupterotidae	Apha	tychoona		22	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Gelechiidae	Anacampsis	innocuella		29	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Gelechiidae	Eucordylea	resinosae		30	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Gelechiidae	Exotelsia	dodscella		12	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Gelechiidae	Exotelsia	nepheos		12	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Gelechiidae	Exotelsia	pinifoliella		11	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Gelechiidae	Tachyptilia	populella		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Agathia	carissima		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Aperia	syringaria		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Ascotis	selenaria	cretacea	34	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Boarmia	consonaria		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Calospiloa	sylvata	fulvobasalis	29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Campaea	margatitata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Camptogramma	bilineata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Caripeta	angustiorata		29	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Geometridae	Caripeta	divisata		29	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Geometridae	Chlorochysta	miata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Coenotephria	sagittata		12	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Colostygia	aptata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Colostygia	didymata		27	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Colostygia	olivata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Colostygia	parallelolineata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Colostygia	pectinataria		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Cusiala	stipitaria	karuizawensis	30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Dysstroma	citrata		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Dysstroma	latefasciata		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Dysstroma	truncata		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Ectropis	deodarae		31	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."
Geometridae	Epirrhoe	alternata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Epirrhoe	galiata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Epirrhoe	trista		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Eulype	hastata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Eulype	subhastata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Euphyia	corylata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Euphyia	cucullata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Euphyia	luctuata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Euphyia	unangulata		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Hydrelia	flammeolaria		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Hydrelia	testaceata		13	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Hydriomena	coerulata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Hydriomena	furcata		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Hydriomena	ruberata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Lambdina	fiscellaria		38	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Geometridae	Lampropteryx	minna		17	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Lampropteryx	suffumata		32	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Larentia	autumnalis		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Lycia	hirtaria		14	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Lyncometra	ocellata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Mesolenca	albicillata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Nepytia	canosaria		61	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Geometridae	Nyssia	zonaria		56	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Opisthograptis	luteolata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Oporinia	autumnata		38	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Oporinia	christyi		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Oporinia	dilutata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Oporinia	filigrammaria		37	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Ourapteryx	sambucaria		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Pelurga	comitata		32	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Perizoma	affinitata		25	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Perizoma	alchemillata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Perizoma	blandiata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Perizoma	flavofasciata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Perizoma	hydrata		25	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Perizoma	taeniata		32	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Phigalia	pilosaria		112	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Plagodis	alcoolaria		31	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Geometridae	Plemyria	bicolorata		29-31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Poecilopsis	pomonaria		51	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Protoboarmia	porcelaria	indicataria	31	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."
Geometridae	Pseudoboarmia	punctinalis		32	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Psychophora	sabini	frigidaria	29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Selenia	bilunaria		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Selenia	lunaria		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Selenia	tetralunaria		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Thera	cognata		20	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Thera	firmata		19	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Thera	juniperata		30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Thera	obeliscata		13	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Thera	variata		13	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Xanthorhoe	fluctuata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Xanthorhoe	montanata		28-30	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Xanthorhoe	quadrifasciata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Xanthorhoe	spadicearia		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Geometridae	Zonosoma	pendularia		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Gracilariidae	Gracilaria	elongella		29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Hesperidae	Achalarus	casica		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Achalarus	lyciades		31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Achalarus	toxeus		16	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Achlyodes	pallida		15	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	alliae		38	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	aryxna		5	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	baueri		15	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	chisosensis		18	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	estelleae	estelleae	9	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	estelleae	valverdiensis	9	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	freemani		15	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	gilberti		21	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	hesperiaris		24	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	mariae	chinatiensis	22	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	mariae	lajitaensis	22	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	mariae	mariae	22	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	mariae	rindgei	22	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	micheneri		20	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	neumoegeni	florenceae	10	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	polingi		10	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Aegiale	remingtoni		9	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Alera	vulpina		27	"Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37."
Hesperidae	Amblyscirtes	aenus		28-29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Amblyscirtes	cassus		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Amblyscirtes	celia		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Amblyscirtes	phylace		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Amblyscirtes	texanae		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Amblyscirtes	vialis		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Anisocharia	sublimbata		31	"Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37."
Hesperidae	Antigonus	erosus		31	"Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37."
Hesperidae	Antigonus	liborius		31	"Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37."
Hesperidae	Arotis	derasa		28	"Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37."
Hesperidae	Asbolis	capucinus		48	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Astraptes	anaphus		31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Astraptes	fulgerator		31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Astraptes	longipennis		31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Astraptes	naxos		31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Astraptes	phalaecus		25	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Augiades	venata		13	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Hesperidae	Bibasis	aquilina		29	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Bibasis	aquilina	chrysaeglia	31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Bibasis	jain	formosana	31	"Maeki, K. & Ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 1. Papilionidae and Hesperiidae. Kontyu 36: 116–123."
Hesperidae	Bibasis	jaina	formosana	31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Butleria	quilla		29	"Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37."
Hesperidae	Carcharodus	alceae		31	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Carcharodus	boeticus		38-52	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Carcharodus	dravira		37–48	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Carcharodus	flocciferus		32–58	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
Hesperidae	Carcharodus	lavatherae		30	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."
