Family	Genus	species	sub.species	uncertainities	SpecisName	other.names.genera	other.names.species	other.names.sub.species	other.name.type	Source.of.other.name	notes.on.other.name	Sexual.System	Karyotype	notes..Karyotype	Predicted.ploidy	female2N	male2N	notesMale2N	notes..comments	cite.key
Pieridae	Leptidea	duponcheli			NA	Leptidea	duponcheli		Accepted	GBIF		gonochorous			NA		208			"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Pieridae	Leptidea	duponcheli			NA	Leptidea	duponcheli		Accepted	GBIF					NA		208			"Maeki, K., 1958. On the cytotaxonomical relationship in Leptidea. The Japanese Journal of Genetics, 33(9), pp.283-285."
Pieridae	Leptidea	duponcheli			NA	Leptidea	duponcheli		Accepted	GBIF		gonochorous			NA		206		This chromosome number was taken from personnal communications between Roy Robinson and Zdravko Lorkovic in 1966.	robinson1971karyology
Pieridae	Leptidea	duponcheli			NA	Leptidea	duponcheli		Accepted	GBIF		gonochorous			NA		205	204-206		"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Lycaenidae	Agrodiaetus	ripartii			NA	Agrodiaetus	ripartii		Accepted	GBIF		gonochorous			NA		180			"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Lycaenidae	Agrodiaetus	ripartii	paralcestis		NA	Agrodiaetus	ripartii		Accepted	GBIF		gonochorous			NA		180			Lesse 1960c
Lycaenidae	Polyommatus	ripartii			NA	Polyommatus	ripartii		Accepted	GBIF					NA		180			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	fabressei			NA	Polyommatus	fabressei		Accepted	GBIF					NA		180			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	darius			NA	Polyommatus	darius		Accepted	GBIF					NA		180			"Vershinina, A.O. and Lukhtanov, V.A., 2013. Dynamics of chromosome number evolution in the Agrodiaetus phyllis species complex (Insecta: Lepidoptera).Cell and Tissue Biology,7(4), pp.379-381."
Lycaenidae	Polyommatus	coridon			NA	Polyommatus	coridon		Accepted	GBIF					NA		180			"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Nymphalidae	Philaethria	dido			NA	Philaethria	dido		Accepted	GBIF					NA		176			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Lycaenidae	Polyommatus	menalcas			NA	Polyommatus	menalcas		Accepted	GBIF					NA		170			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Lysandra	ossmar			NA	Lysandra	osmarr		Accepted	GBIF		gonochorous			NA		168			"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Lycaenidae	Lysandra	hispana			NA	Lysandra	hispana		Accepted	GBIF		gonochorous			NA		168			Lesse 1952
Lycaenidae	Lysandra	hispana	pseudoalbicans		NA	Lysandra	hispana		Accepted	GBIF		gonochorous			NA		168			Lesse 1962b
Lycaenidae	Agrodiaetus	carmon			NA	Agrodiaetus	carmon		Accepted	Lepindex		gonochorous			NA		163	162-164		"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Lycaenidae	Agrodiaetus	phyllis			NA	Agrodiaetus	phyllis		Accepted	GBIF		gonochorous			NA		161	158-164		Lesse 1959c
Lycaenidae	Polyommatus	phyllis			NA	Polyommatus	phyllis		Accepted	GBIF					NA		160			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	admetus			NA	Polyommatus	admetus		Accepted	GBIF					NA		160			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	demavendi	race-79		NA	Polyommatus	demavendi		Accepted	GBIF					NA		158			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	admetus	malievi		NA	Polyommatus	admetus		Accepted	GBIF					NA		158			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Agrodiaetus	phyllis	vanensis		NA	Agrodiaetus	phyllis		Accepted	GBIF		gonochorous			NA		156			Lesse 1957
Nymphalidae	Greta	diaphanus			NA	Greta	diaphanus		Accepted	GBIF					NA		156			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Lycaenidae	Polyommatus	demavendi	race-73		NA	Polyommatus	demavendi		Accepted	GBIF					NA		146			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Nymphalidae	Philaethria	diatonica			NA	Philaethria	diatonica		Accepted	GBIF					NA		144	"144,134-136"		"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Lycaenidae	Agrodiaetus	demavendi			NA	Agrodiaetus	demavendi 		Accepted	Lepindex		gonochorous			NA		137	134-140		"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Lycaenidae	Lycaena	heteronea			NA	Lycaena	heteronea		Accepted	GBIF		gonochorous			NA		136			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147."
Lycaenidae	Polyommatus	demavendi	race-68		NA	Polyommatus	demavendi		Accepted	GBIF					NA		136			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	phyllides			NA	Polyommatus	phyllides		Accepted	GBIF					NA		134	132-134	modal chromosome number is reported im male 2n	"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	iphigenides			NA	Polyommatus	iphigenides		Accepted	GBIF					NA		134	130-134	modal chromosome number is reported im male 2n	"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	damone	altaicus		NA	Polyommatus	damone		Accepted	GBIF					NA		134			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Nymphalidae	Hyaliris	antea			NA	Hyalyris	antea		Accepted	GBIF					NA		132			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Pieridae	Leptidea	amurensis			NA	Leptidea	amurensis		Accepted	GBIF		gonochorous			NA		128			Maeki 1958b
Lycaenidae	Polyommatus	theresiae			NA	Polyommatus	theresiae		Accepted	GBIF					NA		126			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Nymphalidae	Forbestra	equicola			NA	Forbestra	equicola		Accepted	GBIF					NA		126			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Psychidae	Solenobia	triquetrella			NA	Solenobia	triquetrella		Accepted	GBIF		parthenogenetic			4		124			Seiler 1942a
Papilionidae	Parnassius	stubbendorfii			NA	Parnassius	stubbendorfii		Accepted	GBIF					NA		124			"Maeki, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures).†??????????,†13(1-4), pp.259-262."
Lycaenidae	Agrodiaetus	phyllides	askhabadica		NA	Agrodiaetus	phillidis		Accepted	GBIF		gonochorous			NA		124	122-126		Lesse 1963c
Psychidae	Solenobia	lichenella			NA	Solenobia	lichenella		Accepted	GBIF		parthenogenetic			4		124			Narbel 1948
Papilionidae	Parnassius	glacialis			NA	Parnassius	glacialis		Accepted	GBIF					NA		124			"Maeki, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures).†??????????,†13(1-4), pp.259-262."
Papilionidae	Parnassius	eversmanni			NA	Parnassius	eversmanni		Accepted	GBIF		gonochorous			NA		124			Maeki 1957b
Papilionidae	Parnassius	eversmanni			NA	Parnassius	eversmanni		Accepted	GBIF					NA		124			"Maeki, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures).†??????????,†13(1-4), pp.259-262."
Nymphalidae	Philaethria	constantinoi			NA	Philaethria	constantinoi		Accepted	GBIF					NA		124			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Pieridae	Leptidea	amurensis			NA	Leptidea	amurensis		Accepted	GBIF					NA		122			"Maeki, K., 1958. A comparative study of chromosomes in 15 species of the Japanese Pieridae (Lepidoptera-Rhopalocera). Jpn J Genet, 33, pp.349-355."
Pieridae	Leptidea	amurensis			NA	Leptidea	amurensis		Accepted	GBIF					NA		122			"Maeki, K., 1958. On the cytotaxonomical relationship in Leptidea. The Japanese Journal of Genetics, 33(9), pp.283-285."
Nymphalidae	Etcheverrius	chiliensis			NA	Etcheverrius	chiliensis		Accepted	GBIF					NA		120			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Etcheverrius	chiliensis			NA	Etcheverrius	chiliensis		Accepted	GBIF					NA		120			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Lycaenidae	Polyommatus	klausschuriani			NA	Polyommatus	klausschuriani		Accepted	GBIF					NA		112			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	glaucias			NA	Polyommatus	glaucias		Accepted	GBIF					NA		112			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	tenhageni			NA	Polyommatus	tenhageni		Accepted	GBIF					NA		108			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Pieridae	Leptidea	morsei			NA	Leptidea	morsei		Accepted	GBIF					NA		108			"Maeki, K., 1958. A comparative study of chromosomes in 15 species of the Japanese Pieridae (Lepidoptera-Rhopalocera). Jpn J Genet, 33, pp.349-355."
Nymphalidae	Nica	flavilla			NA	Nica	flavilla		Accepted	GBIF					NA		108			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Nica	flavilla			NA	Nica	flavilla		Accepted	GBIF					NA		108			"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148."
Pieridae	Patia	orise			NA	Patia	orise		Accepted	GBIF					NA		106			"Saura, A., Schoultz, B.V., Saura, A.O. and Brown Jr, K.S., 2013. Chromosome evolution in Neotropical butterflies.Hereditas,150(2?3), pp.26-37."
Lycaenidae	Polyommatus	bogra			NA	Polyommatus	bogra		Accepted	GBIF					NA		106			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Agrodiaetus	transcaspica			NA	Agrodiaetus	transcaspica		Accepted	GBIF		gonochorous			NA		105	104-106		Lesse 1963b
Erebidae	Dasychira	pseudabietis			NA	Dasychira	pseudabietis		Accepted	GBIF		gonochorous			NA		104			Saitoh 1959a
Nymphalidae	Erebia	iranica	transcaucasia		NA	Erebia	iranica		Accepted	GBIF		gonochorous			NA		104			"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Nymphalidae	Palla	violinitens			NA	Palla	violinitens		Accepted	GBIF					NA		102			"Lesse, H.D., 1967. Formules chromosomiques de Lépidoptères Rhopalocères d'Afrique centrale (supplemént et rectificatif).Bulletin de la Société entomologique de France,72(9), pp.287-288."
Geometridae	Poecilopsis	pomonaria			NA	Poecilopsis	pomonaria		Accepted	GBIF		gonochorous			NA		102			"Malan, D.E., 1918. Ergebnisse anatomischer Untersuchungen an Standfuss'schen Lepidopteren Bastards. Mitt. Ent., Zurich, 4, pp.201–260."
Nymphalidae	Erebia	iranica	savalanica		NA	Erebia	iranica		Accepted	GBIF		gonochorous			NA		102			Lesse 1955b
Nymphalidae	Amphidecta	reynoldsi			NA	Amphidecta	reynoldsi		Accepted	GBIF					NA		100			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Penetes	pamphanis			NA	Penetes	pamphanis		Accepted	GBIF					NA		100			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Penetes	pamphanis			NA	Penetes	pamphanis		Accepted	GBIF					NA		100			"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481."
Nymphalidae	Athyrtis	mechanitis			NA	Athyrtis	mechanitis		Accepted	GBIF					NA		100			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Hesperiidae	Stallingsia	maculosus			NA	Stallingsia	maculosus		Accepted	GBIF					NA		100			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Hesperiidae	Stallingsia	maculosa			NA	Stallingsia	maculosus		Accepted	GBIF		gonochorous			NA		100			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 2. Hesperiidae, Megathymidae and Pieridae. J. Lepid. Soc.,14, pp.37-57."
Nymphalidae	Selenophanes	cassiope			NA	Selenophanes	cassiope		Accepted	GBIF					NA		100			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Selenophanes	cassiope			NA	Selenophanes	cassiope		Accepted	GBIF					NA		100			"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481."
Nymphalidae	Euptychoides	albofasciata			NA	Euptychoides	albofasciata		Accepted	GBIF					NA		100			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Saturniidae	Antherea	pernyi			NA	Antheraea	pernyi		Accepted	GBIF		gonochorous			NA		98			Kawaguchi 1933b
Pieridae	Dismorphia	hyposticta			NA	Dismorphia	hyposticta		Accepted	GBIF					NA		96			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Hesperiidae	Asbolis	capucinus			NA	Asbolis	capucinus		Accepted	GBIF					NA		96			"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae).†Comparative Cytogenetics,†8(4), p.275."
Lycaenidae	Polyommatus	aroaniensis			NA	Polyommatus	aroaniensis		Accepted	GBIF					NA		96			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Ussuriana	stygiana			NA	Ussuriana	stygiana		Accepted	GBIF		gonochorous			NA		94			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147."
Nymphalidae	Greta	oto			NA	Greta	oto		Accepted	GBIF					NA		94			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Godyris	duillia			NA	Godyris	duillia		Accepted	GBIF					NA		92			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Lycaenidae	Agrodiaetus	damone			NA	Agrodiaetus	damone		Accepted	Lepindex		gonochorous			NA		90			Lesse 1952
Lycaenidae	Polyommatus	damon			NA	Polyommatus	damon		Accepted	GBIF					NA		90			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	bellargus			NA	Polyommatus	bellargus		Accepted	GBIF					NA		90			"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Lycaenidae	Polyommatus	baltazardi			NA	Polyommatus	baltazardi		Accepted	GBIF					NA		90			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Nymphalidae	Pareuptychia	ocirrhoe	s.l.		NA	Pareuptychia	ocirrhoe		Accepted	GBIF					NA		88			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Nymphalidae	Neptis	nysiades			NA	Neptis	nysiades		Accepted	GBIF		gonochorous			NA		88			Lesse and Condamin 1965
Nymphalidae	Oleria	aquata			NA	Oleria	aquata		Accepted	GBIF					NA		86			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Lycaenidae	Polyommatus	antidolus			NA	Polyommatus	antidolus		Accepted	GBIF					NA		84	84-88	modal chromosome number is reported im male 2n	"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Nymphalidae	Adelpha	alala			NA	Adelpha	alala		Accepted	NCBI taxonomy browser					NA		84			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
Nymphalidae	Coenonympha	gardetta	darwiniana		NA	Coenonympha	gardetta		Accepted	GBIF		gonochorous			NA		83	62-104		"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223."
Nymphalidae	Pampasatyrus	nilesi			NA	Pampasatyrus	nilesi		Accepted	GBIF					NA		82			"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136."
Lycaenidae	Polyommatus	dama			NA	Polyommatus	dama		Accepted	GBIF					NA		82			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Nymphalidae	Oleria	athalina			NA	Oleria	athalina		Accepted	GBIF					NA		82			"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9."
