Family	Genus	Species	Subspecies	hap		Reference	SpeciesNames
Danaidae	Parantica	melaneus	swinhoei	22	44	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Parantica_melaneus
Danaidae	Radena	similis		13	26	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Radena_similis
Danaidae	Tirumala	hamata		31-36	62-72	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."	Tirumala_hamata
Danaidae	Tirumala	limniace		33	66	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."	Tirumala_limniace
Danaidae	Tirumata	limniace		37	74	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Tirumata_limniace
Gelechiidae	Anacampsis	innocuella		29	58	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Anacampsis_innocuella
Gelechiidae	Eucordylea	resinosae		30	60	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Eucordylea_resinosae
Gelechiidae	Exotelsia	dodscella		12	24	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Exotelsia_dodscella
Gelechiidae	Exotelsia	nepheos		12	24	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Exotelsia_nepheos
Gelechiidae	Exotelsia	pinifoliella		11	22	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Exotelsia_pinifoliella
Geometridae	Ascotis	selenaria	cretacea	34	68	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Ascotis_selenaria
Geometridae	Calospiloa	sylvata	fulvobasalis	29	58	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Calospiloa_sylvata
Geometridae	Caripeta	angustiorata		29	58	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Caripeta_angustiorata
Geometridae	Caripeta	divisata		29	58	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Caripeta_divisata
Geometridae	Ectropis	deodarae		31	62	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."	Ectropis_deodarae
Geometridae	Hydriomena	ruberata		30	60	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Hydriomena_ruberata
Geometridae	Lambdina	fiscellaria		38	76	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Lambdina_fiscellaria
Geometridae	Mesolenca	albicillata		31	62	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Mesolenca_albicillata
Geometridae	Nepytia	canosaria		61	122	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Nepytia_canosaria
Geometridae	Plagodis	alcoolaria		31	62	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Plagodis_alcoolaria
Geometridae	Protoboarmia	porcelaria	indicataria	31	62	"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130."	Protoboarmia_porcelaria
Hesperidae	Achalarus	lyciades		31	62	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Achalarus_lyciades
Hesperidae	Aegiale	alliae		38	76	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_alliae
Hesperidae	Aegiale	aryxna		5	10	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_aryxna
Hesperidae	Aegiale	baueri		15	30	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_baueri
Hesperidae	Aegiale	chisosensis		18	36	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_chisosensis
Hesperidae	Aegiale	estelleae	estelleae	9	18	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_estelleae
Hesperidae	Aegiale	estelleae	valverdiensis	9	18	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_estelleae
Hesperidae	Aegiale	freemani		15	30	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_freemani
Hesperidae	Aegiale	gilberti		21	42	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_gilberti
Hesperidae	Aegiale	mariae	chinatiensis	22	44	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_mariae
Hesperidae	Aegiale	mariae	lajitaensis	22	44	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_mariae
Hesperidae	Aegiale	mariae	mariae	22	44	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_mariae
Hesperidae	Aegiale	mariae	rindgei	22	44	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_mariae
Hesperidae	Aegiale	micheneri		20	40	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_micheneri
Hesperidae	Aegiale	neumoegeni	florenceae	10	20	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_neumoegeni
Hesperidae	Aegiale	polingi		10	20	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_polingi
Hesperidae	Aegiale	remingtoni		9	18	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Aegiale_remingtoni
Hesperidae	Amblyscirtes	aenus		28-29	56-58	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Amblyscirtes_aenus
Hesperidae	Bibasis	jain	formosana	31	62	"Maeki, K. & Ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 1. Papilionidae and Hesperiidae. Kontyu 36: 116–123."	Bibasis_jain
Hesperidae	Carcharodus	boeticus		38-52	76-104	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Carcharodus_boeticus
Hesperidae	Carcharodus	dravira		37–48	74-96	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Carcharodus_dravira
Hesperidae	Carcharodus	flocciferus		32–58	64-116	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Carcharodus_flocciferus
Hesperidae	Carcharodus	orientalis		30	60	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Carcharodus_orientalis
Hesperidae	Celotes	celotes		"14, 13"	"26,28"	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Celotes_celotes
Hesperidae	Erynnis	baptisiae		31	62	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Erynnis_baptisiae
Hesperidae	Nastra	vherminieri		30	60	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Nastra_vherminieri
Hesperidae	Ocybadystes	walkeri	sotis	28	56	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Ocybadystes_walkeri
Hesperidae	Pelopidas	conjuncta		16	32	"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74."	Pelopidas_conjuncta
Hesperidae	Pelopidas	lubricans		16	32	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Pelopidas_lubricans
Hesperidae	Pelopidas	pellucida		16-18	32-36	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Pelopidas_pellucida
Hesperidae	Poanes	themistocles		29	58	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Poanes_themistocles
Hesperidae	Poanes	vibex	catilina	29	58	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Poanes_vibex
Hesperidae	Poanes	vibex	praeceps	27	54	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Poanes_vibex
Hesperidae	Poanes	vibex	vibex	29	58	"Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291."	Poanes_vibex
Hesperidae	Polytremis	Iubricans	taiwana	16	32	"Maeki, K. & Ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 1. Papilionidae and Hesperiidae. Kontyu 36: 116–123."	Polytremis_Iubricans
Hesperidae	Pyrgus	cacaliae		30	60	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Pyrgus_cacaliae
Hesperidae	Spialia	rosae		31	62	"Hernández-Roldán, J.L., Dapporto, L., Dinca, V., Vicente, J.C., Hornett, E.A., Šíchová, J., et al. (2016). Integrative analyses unveil speciation linked to host plant shift in Spialiabutterflies. Molecular Ecology 25: 4267–4284."	Spialia_rosae
Hesperidae	Spialia	theraphne		31	62	"Hernández-Roldán, J.L., Dapporto, L., Dinca, V., Vicente, J.C., Hornett, E.A., Šíchová, J., et al. (2016). Integrative analyses unveil speciation linked to host plant shift in Spialiabutterflies. Molecular Ecology 25: 4267–4284."	Spialia_theraphne
Lasiocampidae	Crinocraspeda	torrida		26	52	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Crinocraspeda_torrida
Lasiocampidae	Cyclophragma	undans		29	58	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Cyclophragma_undans
Lasiocampidae	Dendrolinus	hyrtaca		31	62	"Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149."	Dendrolinus_hyrtaca
Lasiocampidae	Dendrolinus	jezoensis		30	60	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Dendrolinus_jezoensis
Lasiocampidae	Dendrolinus	pini		30	60	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Dendrolinus_pini
Lasiocampidae	Dendrolinus	spectabilis		30	60	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Dendrolinus_spectabilis
Lasiocampidae	Eutrix	laeta	divisa	31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Eutrix_laeta
Lasiocampidae	Eutrix	potatoria		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Eutrix_potatoria
Lasiocampidae	Malacosoma	alpicolum		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_alpicolum
Lasiocampidae	Malacosoma	americana		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_americana
Lasiocampidae	Malacosoma	californica	pluviale	31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_californica
Lasiocampidae	Malacosoma	castrensis		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_castrensis
Lasiocampidae	Malacosoma	disstria		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_disstria
Lasiocampidae	Malacosoma	indica		25	50	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_indica
Lasiocampidae	Malacosoma	neustrium		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Malacosoma_neustrium
Lasiocampidae	Pachypasa	otus		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Pachypasa_otus
Lasiocampidae	Phyllodesma	ilicifolium		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Phyllodesma_ilicifolium
Lasiocampidae	Phyllodesma	tremulifolium		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Phyllodesma_tremulifolium
Lasiocampidae	Poecilocampa	populi		36	72	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Poecilocampa_populi
Lasiocampidae	Streblote	siva		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Streblote_siva
Lycaenidae	Athamanthia	phoenicurus		24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Athamanthia_phoenicurus
Lycaenidae	Celastrina	limbata	himilcon	25	50	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."	Celastrina_limbata
Lycaenidae	Celastrina	puspa	barneyi	25	50	"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74."	Celastrina_puspa
Lycaenidae	Chaetoprocta	odata		21	42	"Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152."	Chaetoprocta_odata
Lycaenidae	Holochila	helenita		53	106	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Holochila_helenita
Lycaenidae	Horaga	onyx	moltrechti	22	44	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."	Horaga_onyx
Lycaenidae	Jamides	alecto	dromicus	24	48	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."	Jamides_alecto
Lycaenidae	Jamides	bochus	formosanus	24	48	"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133."	Jamides_bochus
Lycaenidae	lolana	iolas		22	44	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	lolana_iolas
Lycaenidae	Meleageria	meleager		23	46	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Meleageria_meleager
Lycaenidae	Narathura	micale	amphis	24	48	"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14."	Narathura_micale
Lycaenidae	Plebejus	agyrognomon		24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Plebejus_agyrognomon
Lycaenidae	Plebejus	eumedon		24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Plebejus_eumedon
Lycaenidae	Plebejus	optilete		24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Plebejus_optilete
Lycaenidae	Polyommatiis	argyrognomon		24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Polyommatiis_argyrognomon
Lycaenidae	Polyommatus	ainsae		108–110	216-220	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."	Polyommatus_ainsae
Lycaenidae	Polyommatus	allivaganus	pseudoxerces	16	32	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Polyommatus_allivaganus
Lycaenidae	Polyommatus	atlantica		223	446	"Lukhtanov, V. (2015). The blue butterfly Polyommatus (Plebicula) atlanticus (Lepidoptera, Lycaenidae) holds the record of the highest number of chromosomes in the non-polyploid eukaryotic organisms. Comp Cytogenet 9: 683–690."	Polyommatus_atlantica
Lycaenidae	Polyommatus	brandti		19	38	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."	Polyommatus_brandti
Lycaenidae	Polyommatus	dorylas		24	48	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Polyommatus_dorylas
Lycaenidae	Polyommatus	karacetinae		19	38	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_karacetinae
Lycaenidae	Polyommatus	kermansis		22	44	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."	Polyommatus_kermansis
Lycaenidae	Polyommatus	lorestanus		68	136	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."	Polyommatus_lorestanus
Lycaenidae	Polyommatus	nephohiptamenos		90	180	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_nephohiptamenos
Lycaenidae	Polyommatus	orphicus	eleniae	42	84	"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85."	Polyommatus_orphicus
Lycaenidae	Polyommatus	paracyaneus		20	40	"Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389."	Polyommatus_paracyaneus
