Family	Genus	species	sub-species	uncertainities	SpecisName	other-names-genera	other-names-species	other-names-sub-species	other-name-type	Source of other name	notes-on-other-name	Sexual.System	Karyotype	notes..Karyotype	Predicted.ploidy	female2N	male2N	notesMale2N	notes..comments	cite.key
Danaidae	Euploes	mulciber	barsine			Euploea	mulciber		Accepted	GBIF		gonochorous					58			"Maeki, K., Ogata, M. and Shirozu, T., 1965. A study of the chromosomes in twenty-five speceis of Formosan Rhopalocera. Special Bulletines of the Lepidoptera Society Japan, (1), pp.1-10."
Danaidae	Amauris	nossima				Amauris	nossima		Accepted	GBIF								64-74		"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11."
Erebidae	Olene	fascelina	caucasica														62			"Lukhtanov, V.A. and Kuznetsova, V.G., 1989. Karyotype structure in higher Lepidoptera,(Papilionomorpha). Entomological review, 68(5), pp.12-31."
Erebidae	Euproctis	chrysorrhoea				Euproctis	chrysorrhoea		Accepted	GBIF							62			"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331."
Erebidae	Hypsa	alciphron				Asota	caricae		Synonym	Lepindex							62			"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149."
Eupteroidae	Apha	tychoona				Apha	aequalis		Synonym	Lepindex							44			"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87."
Gelechiidae	Sititroga	cerealella				Sitotroga	cerealella		Accepted	GBIF							60			"Lukhtanov, V.A. and Kuznetsova, V.G., 1989. Karyotype structure in higher Lepidoptera,(Papilionomorpha). Entomological review, 68(5), pp.12-31."
Gelechiidae	Tachyptilia	populella				Anacampsis	populella		Synonym	GBIF							58			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Gelechiidae	Phthorimaea	operculella				Phthorimaea	operculella		Accepted	GBIF		gonochorous	ZW			58	58			traut2008sex
Gelechiidae	Anacampsis	disquei				Anacampsis	timidella		Synonym	Lepindex							58			"Lukhtanov, V.A. and Kuznetsova, V.G., 1989. Karyotype structure in higher Lepidoptera,(Papilionomorpha). Entomological review, 68(5), pp.12-31."
Gelechiidae	Exoteleia	dodecella				Exoteleia	dodecella		Accepted	GBIF		gonochorous	ZO			23	24			traut2008sex
Gelechiidae	Exoteleia	pinifoliella				Exoteleia	pinifoliella		Accepted	GBIF		gonochorous	ZO			21	22			traut2008sex
Geometridae	Phigalia	pilosaria				Phigalia	pilosaria		Accepted	GBIF		gonochorous					224			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Nyssia	zonaria				Nyssia	zonaria		Doubtful	GBIF		gonochorous					112			"Harrison, J.W.H. and Doncaster, L., 1914. On hybrids between moths of the geometrid sub-familybistoninae, with an account of the behaviour of the chromosomes in gametogenesis inLycia (biston) hirtaria, Ithysia (nyssla) zonaria and in their hybrids. Journal of Genetics, 3(4), pp.229-248."
Geometridae	Poecilopsis	pomonaria				Poecilopsis	pomonaria		Accepted	GBIF		gonochorous					102			"Malan, D.E., 1918. Ergebnisse anatomischer Untersuchungen an Standfuss'schen Lepidopteren Bastards. Mitt. Ent., Zurich, 4, pp.201–260."
Geometridae	Oporinia	autumnata				Oporinia	autumnata		Accepted	GBIF		gonochorous					76			"Harrison, J.H., 1920. Genetical studies in the moths of the geometrid genusOporabia (Oporinia) with a special consideration of melanism in the lepidoptera. Journal of Genetics, 9(3), pp.195-280."
Geometridae	Oporinia	filigrammaria				Oporinia	filigrammaria		Accepted	GBIF		gonochorous					74			"Harrison, J.H., 1920. Genetical studies in the moths of the geometrid genusOporabia (Oporinia) with a special consideration of melanism in the lepidoptera. Journal of Genetics, 9(3), pp.195-280."
Geometridae	Ascotos	selenaria	cretacea			Ascotis	selenaria		Accepted	GBIF							68			"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87."
Geometridae	Perizoma	taeniata				Perizoma	taeniata		Accepted	GBIF		gonochorous					64			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Lampropteryx	suffumata				Lampropteryx	suffumata		Accepted	GBIF		gonochorous					64			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Geometridae	sp.															64			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Boarmia	punctularia				Aethalura	punctulata		Synonym	Lepindex							64			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Pseudoboarmia	punctinalis				Hypomecis	punctinalis		Synonym	Lepindex		gonochorous					64			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Pelurga	comitata				Pelurga	comitata		Accepted	GBIF		gonochorous					64			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Zonosoma	sp.				Cyclophora	sp.		Genera Synonym	Lepindex							62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Ourapteryx	sambucaria				Ourapteryx	sambucaria		Accepted	GBIF							62			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Geometridae	Xanthorhoe	quadrifasciata				Xanthorhoe	quadrifasiata		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Zonosoma	pendularia				Cyclophora	albipunctata		Synonym	Lepindex							62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Colostygia	pectinataria				Colostygia	pectinataria		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Colostygia	olivata				Colostygia	olivata		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Lyncometra	ocellata				Cosmorhoe	ocellata		Synonym	Lepindex		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Campaea	margatitata				Campaea	margaritata		Accepted	GBIF		gonochorous					62			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Opisthograptis	luteolata				Opisthograptis	luteolata		Accepted	GBIF		gonochorous					62			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Selenia	lunaria				Selenia	lunaria		Accepted	GBIF		gonochorous					62			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Eulype	hastata				Rheumaptera	hastata		Synonym	Lepindex		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Epirrhoe	galiata				Epirrhoe	galiata		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Xanthorhoe	fluctuata				Xanthorhoe	fluctuata		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Euphyia	cucullata										gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Boarmia	consonaria				Hypomecis	punctinalis		Synonym	GBIF							62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Oporinia	christyi				Epirrita	christyi		Synonym	Lepindex		gonochorous					62			"Harrison, J.H., 1933. The larvae of Oporinia christyi Prout and their variation. Entomologist, 66,pp.145–148."
Geometridae	Agathia	carssima				Agathia	carissima		Accepted	GBIF							62			"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87."
Geometridae	Agathia	carissima				Agathia	carissima		Accepted	GBIF		gonochorous					62			"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87."
Geometridae	Psychophora	caesiata										gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Epirrhoe	alternata				Epirrhoe	alternata		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Mesoleuca	albicillata				Mesoleuca	albicillata		Accepted	GBIF		gonochorous					62			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Epirrhoe	trista				Epirrhoe	tristata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Cusiala	stipitaria	karuizawensis			Cusiala	stipitaria		Accepted	GBIF							60			"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87."
Geometridae	Hydriornena	ruberata				Hydriornena	ruberata		Accepted	Lepindex		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Colostygia	parallelolineata				Colostygia	parallelolineata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Chlorochysta	miata				Chloroclysta	miata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Euphyia	luctuata				Euphyia	luctuata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Thera	juniperata				Thera	juniperata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Perizoma	flavofasciata				Perizoma	flavofasciata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Hydrelia	flammeolaria				Hydrelia	flammeolaria		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Oporinia	dilutata				Oporinia	dilutata		Accepted	GBIF		gonochorous					60			"Harrison, J.H., 1920. Genetical studies in the moths of the geometrid genusOporabia (Oporinia) with a special consideration of melanism in the lepidoptera. Journal of Genetics, 9(3), pp.195-280."
Geometridae	Euphyia	corylata				Euphyia	correlata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Hydriomena	coerulata				Hydriomena	impluviata		Synonym	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Perizoma	blandiata				Perizoma	blandiata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Selenia	bilunaria				Selenia	bilunaria		Accepted	GBIF		gonochorous					60			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Camptogramma	bilineata				Camptogramma	bilineata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Plemyria	bicolorata				Plemyria	rubiginata		Synonym	Lepindex		gonochorous					60	58-62		"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Larentia	autumnalis															60			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Geometridae	Colostygia	aptata				Colostygia	aptata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Perizoma	alchemillata				Perizoma	alchemillata		Accepted	GBIF		gonochorous					60			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Dysstroma	truncata				Dysstroma	truncata		Accepted	GBIF		gonochorous					58			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Selenia	tetralunaria				Selenia	tetralunaria		Accepted	GBIF		gonochorous					58			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Aperia	syringaria				Apeira	syringaria		Accepted	GBIF		gonochorous					58			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Geometridae	Calospilos	sylvata	fulvobasalis			Abraxas	sylvata		Synonym	GBIF							58			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Geometridae	Xanthorhoe	spadicearia				Xanthorhoe	spadicearia		Accepted	GBIF		gonochorous					58			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Psychophora	sabini	frigidaria			Psychophora	sabini		Accepted	GBIF		gonochorous					58			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Dysstroma	latefasciata				Dysstroma	latefasciata		Accepted	GBIF		gonochorous					58			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Dysstroma	citrata				Dysstroma	citrata		Accepted	GBIF		gonochorous					58			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Euphyia	unangulata				Euphyia	unangulata		Accepted	GBIF		gonochorous					56			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Abraxas	grossulariata				Abraxas	grossulariata		Accepted	GBIF							56			"Doncaster, D., 1910. Note on the spermatogenesis of Abraxas grossulariata (currant moth). Proceed. of the Cambridge Phil. Soc., 15, pp.44-45."
Geometridae	Hydriomena	furcata				Hydriomena	furcata		Accepted	GBIF		gonochorous					56			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Colostygia	didymata				Colostygia	didymata		Accepted	GBIF		gonochorous					54			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Idaea	aversata				Idaea	aversata		Accepted	GBIF							52			"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331."
Geometridae	Perizoma	hydrata				Perizoma	hydrata		Accepted	GBIF		gonochorous					50			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Perizoma	affinitata				Perizoma	affinitata		Accepted	GBIF		gonochorous					50			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Thera	cognata				Thera	cognata		Accepted	GBIF		gonochorous					40			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Thera	firmata				Thera	firmata		Accepted	GBIF		gonochorous					38			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
Geometridae	Lampropteryx	minna				Lampropteryx	minna		Accepted	GBIF		gonochorous					34			"Suomalainen, E., 1965. On the chromosomes of the geometrid moth genus Cidaria. Chromosoma, 16(2), pp.166-184."
