Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,cite.key
Arctiidae,Phragmatobia,fuliginosa  ,gonochorous,complex ZW,ZZ/ZW1W2,female heterogametic,,57,,56,,,robinson1971karyology
Arctiidae,Phragmatobia,fuliginosa amurensis ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Arctiidae,Spilarctis,imparilis  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Spilaritia,infernalis  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Spilosoma,lubricipeda  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Spilosoma,lubricipeda  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Spilosoma,menthastri  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Arctiidae,Spilosoma,menthastri  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Arctiidae,Utetheisa,ornatrix  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Utetheisa,ornatrix bella ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Utetheisa,ornatrix stretchii ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Utetheisa,pulchella  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Bangiaceae,Dione,glycera,,,,,,,,62,,,"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalinae). Hereditas, 117(2), pp.109-125."
Bangiaceae,Dione,juno,,,,,,,,62,,,"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalinae). Hereditas, 117(2), pp.109-125."
Bangiaceae,Dione,moneta,,,,,,,,62,,,"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalinae). Hereditas, 117(2), pp.109-125."
Bombycidae,Bombyx,mandarina  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Bombycidae,Bombyx,mandarina  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Bombycidae,Bombyx,mandarina  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Bombycidae,Bombyx,mandarina  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Bombycidae,Bombyx,mori  ,gonochorous,ZW,,female heterogametic,,56,,56,,,robinson1971karyology
Bombycidae,Bombyx,mori  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Bombycidae,Bombyx,mori  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Bombycidae,Theophila,religiosae  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Carposinidae,Carposina,niponensis  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Crambidae,Ostrinia,scapulalis,gonochorous,ZW,,female heterogametic,,62,,62,,,traut2008sex
Cymatophoridae,Thyatira,batis  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Danaidae,Euploes,mulciber barsine ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Ericaceae,Pieris,brassicae,,,,,,,,,,,
Ericaceae,Pieris,canidia,,,,,,,,,,,
Ericaceae,Pieris,melete,,,,,,,,,,,
Ericaceae,Pieris,napi,,,,,,,,,,,
Ericaceae,Pieris,rapae,,,,,,,,,,,
Ericaceae,Pieris,virginiensis,,,,,,,,,,,
Eupterotidae,Apha,tychoona  ,gonochorous,,,,,NA,,44,,,robinson1971karyology
Gelechiidae,Exoteleia,dodecella,gonochorous,ZO,,female heterogametic,,23,,24,,,traut2008sex
Gelechiidae,Exoteleia,pinifoliella,gonochorous,ZO,,female heterogametic,,21,,22,,,traut2008sex
Gelechiidae,Phthorimaea,operculella,gonochorous,ZW,,female heterogametic,,58,,58,,,traut2008sex
Gelechiidae,Tachyptilia,populella  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Agathia,carissima  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Aperia,syringaria  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Ascotis,selenaria cretacea ,gonochorous,,,,,NA,,68,,,robinson1971karyology
Geometridae,Boarmia,consonaria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Calospiloa,sylvata fulvobasalis ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Campaea,margatitata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Camptogramma,bilineata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Chlorochysta,miata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Coenotephria,sagittata  ,gonochorous,,,,,NA,,24,,,robinson1971karyology
Geometridae,Colostygia,aptata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Colostygia,didymata  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Geometridae,Colostygia,olivata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Colostygia,parallelolineata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Colostygia,pectinataria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Cusiala,stipitaria karuizawensis ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Dysstroma,citrata  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Dysstroma,latefasciata  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Dysstroma,truncata  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Epirrhoe,alternata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Epirrhoe,galiata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Epirrhoe,trista  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Eulype,hastata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Eulype,subhastata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Euphyia,corylata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Euphyia,cucullata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Euphyia,luctuata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Euphyia,unangulata  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Geometridae,Hydrelia,flammeolaria  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Hydrelia,testaceata  ,gonochorous,,,,,NA,,26,,,robinson1971karyology
Geometridae,Hydriomena,coerulata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Hydriomena,furcata  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Geometridae,Hydriornena,ruberata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Lampropteryx,minna  ,gonochorous,,,,,NA,,34,,,robinson1971karyology
Geometridae,Lampropteryx,suffumata  ,gonochorous,,,,,NA,,64,,,robinson1971karyology
Geometridae,Larentia,autumnalis  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Lycia,hirtaria  ,gonochorous,,,,,NA,,28,,,robinson1971karyology
Geometridae,Lycia,hirtaria  ,gonochorous,,,,,NA,,28,,,robinson1971karyology
Geometridae,Lyncometra,ocellata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Mesolenca,albicillata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Nyssia,zonaria  ,gonochorous,,,,,NA,,112,,,robinson1971karyology
Geometridae,Opisthograptis,luteolata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Oporinia,autumnata  ,gonochorous,,,,,NA,,76,,,robinson1971karyology
Geometridae,Oporinia,christyi  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Oporinia,filigrammaria  ,gonochorous,,,,,NA,,74,,,robinson1971karyology
Geometridae,Ourapteryx,sambucaria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Pelurga,comitata  ,gonochorous,,,,,NA,,64,,,robinson1971karyology
Geometridae,Perizoma,affinitata  ,gonochorous,,,,,NA,,50,,,robinson1971karyology
Geometridae,Perizoma,alchemillata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Perizoma,blandiata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Perizoma,flavofasciata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Perizoma,hydrata  ,gonochorous,,,,,NA,,50,,,robinson1971karyology
Geometridae,Perizoma,taeniata  ,gonochorous,,,,,NA,,64,,,robinson1971karyology
Geometridae,Phigalia,pilosaria  ,gonochorous,,,,,NA,,224,,,robinson1971karyology
Geometridae,Plemyria,bicolorata  ,gonochorous,,,,,NA,,60,58-62,,robinson1971karyology
Geometridae,Poecilopsis,pomonaria  ,gonochorous,,,,,NA,,102,,,robinson1971karyology
Geometridae,Pseudoboarmia,punctinalis  ,gonochorous,,,,,NA,,64,,,robinson1971karyology
Geometridae,Psychophora,caesiata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Psychophora,sabini frigidaria ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Qporinia,dilutata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Selenia,bilunaria  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Selenia,lunaria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Selenia,tetralunaria  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Thera,cognata  ,gonochorous,,,,,NA,,40,,,robinson1971karyology
Geometridae,Thera,firmata  ,gonochorous,,,,,NA,,38,,,robinson1971karyology
Geometridae,Thera,juniperata  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Geometridae,Thera,obeliscata  ,gonochorous,,,,,NA,,26,,,robinson1971karyology
Geometridae,Thera,variata  ,gonochorous,,,,,NA,,26,,,robinson1971karyology
Geometridae,Xanthorho,fluctuata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Xanthorho,montanata  ,gonochorous,,,,,NA,,59,56-60,,robinson1971karyology
Geometridae,Xanthorho,quadrifasciata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Geometridae,Xantlwrho,spadicearia  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Geometridae,Zonosoma,pendularia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Gracilariidae,Gracilaria,elongella  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Graphium,Eurytides,nomius,,,,,,,,,,,
Graphium,Graphium,agamemnon,,,,,,,,,,,
Graphium,Graphium,antiphates,,,,,,,,,,,
Graphium,Graphium,aristeus,,,,,,,,,,,
Graphium,Graphium,cloanthus,,,,,,,,,,,
Graphium,Graphium,doson,,,,,,,,60,,,"MAEKI, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures). ??????????, 13(1-4), pp.259-262."
Graphium,Graphium,empedovana,,,,,,,,,,,
Graphium,Graphium,eurypylus,,,,,,,,,,,
Graphium,Graphium,leonidas,,,,,,,,,,,
Graphium,Graphium,ridleyanus,,,,,,,,,,,
Graphium,Graphium,sarpedon,,,,,,,,,,,
Hesperidae,Achalarus,casica,,,,,,,,58,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Achalarus,lycidas  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Achalarus,toxeus  ,gonochorous,,,,,NA,,32,,,robinson1971karyology
Hesperidae,Astraptes,anaphus,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Astraptes,fulgerator,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Astraptes,longipennis,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Astraptes,naxos,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Astraptes,phalaecus,,,,,,,,50,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Augiades,sylvanus,,,,,,,,58,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Hesperidae,Augiades,venata  ,gonochorous,,,,,NA,,26,,,robinson1971karyology
Hesperidae,Autochton,sp.,,,,,,,,,"40,42",,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Bibasis,aquilina  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Bibasis,aquilina chrysaeglia,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Bibasis,jaina formosana,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Carcharadus,alceae  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Carcharodus,alceae,,,,,,,,62,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191."
Hesperidae,Cegenes,pumilio  ,gonochorous,,,,,NA,,48,,,robinson1971karyology
Hesperidae,Chioides,albofasciatus,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Chioides,catillus  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Choaspes,benjaminii  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Coeliades,anchises jucunda,,,,,,,,60,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Coeliades,ernesti,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Coeliades,fervida,,,,,,,,46,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Coeliades,forestan,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Coeliades,ramanatke,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Cotia,otho  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Daimio,tethys  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Entheus,priassus pralina,,,,,,,,44,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Epargyreus,barsses,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Epargyreus,clarus,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Epargyreus,clavicornis tenda,,,,,,,,,N=29-30,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Erynnis,baptisiae  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,horatius  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,icelus  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Erynnis,juvenalis  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Erynnis,lucilus  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,marloyi  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,montanus  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,persius  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,tages  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Erynnis,tages  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Gesta,gesta,,,,,,,,64,,,"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of Neotropical butterflies from Trinidad and Tobago.ÊBiotropica, pp.24-31."
Hesperidae,Grais,stigmaticus  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Hesperia,alveus  ,gonochorous,,,,,NA,,48,,,robinson1971karyology
Hesperidae,Hesperia,alveus  ,gonochorous,,,,,NA,,48,,,robinson1971karyology
Hesperidae,Hesperia,malvae  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Hesperia,onopordi  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Hesperia,orbifer  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Hesperia,sao  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Hesperia,serratulae  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Lavatheria,lavatherae  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Muschampsia,proto  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Nastra,I'herminieri  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Ochlodes,ochracea  ,gonochorous,,,,,NA,,48,,,robinson1971karyology
Hesperidae,Ochlodes,sylvanoides  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Ochlodes,venata  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Ochlodes,venata  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Oechydrus chersis,,,,,,,,,62,,,"Lukhtanov, V.A., 2014. Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comparative Cytogenetics, 8(4), p.275."
Hesperidae,Parnara,guttata  ,gonochorous,,,,,NA,,32,,,robinson1971karyology
Hesperidae,Pholisora,catullus  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Poanes,hobomok  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Polytremis,mathiades  ,gonochorous,,,,,NA,,32,,,robinson1971karyology
Hesperidae,Polytremis,pellucida  ,gonochorous,,,,,NA,,32,,,robinson1971karyology
Hesperidae,Pyrgus,bellieri  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Hesperidae,Pyrgus,cacaliae  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Pyrgus,carlinae  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Pyrgus,carlinae cirsii ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Pyrgus,carthami  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Pyrgus,malvae  ,gonochorous,,,,,NA,,66,,,robinson1971karyology
Hesperidae,Reverdinus,boeticus  ,gonochorous,,,,,NA,,90,76-104,,robinson1971karyology
Hesperidae,Reverdinus,floccifera  ,gonochorous,,,,,NA,,90,64-116,,robinson1971karyology
Hesperidae,Reverdinus,floccifera orientalis ,gonochorous,,,,,NA,,67,60-74,,robinson1971karyology
Hesperidae,Reverdinus,floccijera dravira ,gonochorous,,,,,NA,,85,74-96,,robinson1971karyology
Hesperidae,Reverdinus,stauderi ambigua ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Hesperidae,Sarangesa,phidyle  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Spialia,orbifer  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Spialia,phlomidis  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Thanaos,tages  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Thoressa,varia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Thorybes,pylades  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Hesperidae,Thymelicus,lineola  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Hesperidae,Thymelicus,lineola  ,gonochorous,,,,,NA,,58,,,robinson1971karyology
Hesperidae,Thymelicus,sylvestris  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Hesperidae,Tuttia,tessellum  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Lasiocampidae,Dendrolinus,jezoensis  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Lasiocampidae,Dendrolinus,pini  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Lasiocampidae,Dendrolinus,spectabilis  ,gonochorous,,,,,NA,,60,,,robinson1971karyology
Lasiocampidae,Epicnaptera,ilicifolia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Epicnaptera,tremulifolia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Malacosoma,castrense  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Malacosoma,neustria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Malacosoma,neustria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Philudoria,potatoria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Philudoria,potatoria  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Lasiocampidae,Poecilocompa,populi  ,gonochorous,,,,,NA,,72,,,robinson1971karyology
Lasiocampidae,Trabala,vishnu,gonochorous,complex ZW,Z1Z2W/Z1Z1Z2Z2,female heterogametic,,51,,52,,,traut2008sex
Lasiocampidae,Trichiura,crataegi  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Limnephilidae,Limnephilus,lunatus,,ZO,,,,25,,26,,,"Lukhtanov, V.A., 2000. Sex chromatin and sex chromosome systems in nonditrysian Lepidoptera (Insecta). Journal of Zoological Systematics and Evolutionary Research, 38(2), pp.73-79."
Lycaenidae,Acrodiaetus,menalcas  ,gonochorous,,,,,NA,,170,,,robinson1971karyology
Lycaenidae,Actizera,lucida,,,,,,,,,,,
Lycaenidae,Acytolepis,puspa,,,,,,,,,,,
Lycaenidae,Agriades,glandon  ,gonochorous,,,,,NA,,48,,,robinson1971karyology
Lycaenidae,Agriades,glandon rusticus ,gonochorous,,,,,NA,,48,,,robinson1971karyology
Lycaenidae,Agrodiaetus,actis firdussi ,gonochorous,,,,,NA,,65,62-68,,robinson1971karyology
Lycaenidae,Agrodiaetus,actis pseudactis ,gonochorous,,,,,NA,,55,48-62,,robinson1971karyology
Lycaenidae,Agrodiaetus,admetus  ,gonochorous,,,,,NA,,160,,,robinson1971karyology
Lycaenidae,Agrodiaetus,admetus anatoliensis ,gonochorous,,,,,NA,,157,154-160,,robinson1971karyology
Lycaenidae,Agrodiaetus,alcestis  ,gonochorous,,,,,NA,,41,40-42,,robinson1971karyology
Lycaenidae,Agrodiaetus,allivaganus pseudoxerces (?),gonochorous,,,,,NA,,32,,,robinson1971karyology
Lycaenidae,Agrodiaetus,altivagans  ,gonochorous,,,,,NA,,41,36-46,,robinson1971karyology
Lycaenidae,Agrodiaetus,antidolus  ,gonochorous,,,,,NA,,123,122-124,,robinson1971karyology
Lycaenidae,Agrodiaetus,ardschira  ,gonochorous,,,,,NA,,127,126-128,,robinson1971karyology
Lycaenidae,Agrodiaetus,baytopi  ,gonochorous,,,,,NA,,54,,,robinson1971karyology
Lycaenidae,Agrodiaetus,carmon  ,gonochorous,,,,,NA,,163,162-164,,robinson1971karyology
Lycaenidae,Agrodiaetus,cyanea  ,gonochorous,,,,,NA,,37,34-40,,robinson1971karyology
Lycaenidae,Agrodiaetus,cyanea brandti ,gonochorous,,,,,NA,,37,36-38,,robinson1971karyology
Lycaenidae,Agrodiaetus,cyanea kermansis ,gonochorous,,,,,NA,,44,,,robinson1971karyology
Lycaenidae,Agrodiaetus,cyanea paracyanea ,gonochorous,,,,,NA,,39,38-40,,robinson1971karyology
