"run","rep","fission","fusion","aneuploidy","tips","rr","cond"
"empPcond.1.nTips50.rr2.RData.tree.65.RData",7,0.28,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",7,0.02,1,0.02,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",7,0.97,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",7,0.24,0.78,0.4,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",7,1,0.47,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",7,0.18,0.02,0.02,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",7,0.19,0.11,0.02,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",7,1,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",7,0,0.03,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",7,0.01,0.01,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",8,0.48,1,0.65,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",8,0.14,0.01,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",8,0.23,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",8,0.02,1,0.05,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",8,0.98,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",8,0.26,0.9,0.54,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",8,1,0.52,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",8,0.12,0.03,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",8,0.19,0.03,0.01,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",8,1,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",8,0,0.02,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",8,0,0.01,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",9,0.42,1,0.56,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",9,0.12,0,0,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",9,0.28,1,0.98,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",9,0.03,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",9,0.97,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",9,0.38,0.8,0.6,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",9,1,0.51,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",9,0.15,0.01,0.02,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",9,0.25,0.08,0.03,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",9,0.98,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",9,0.01,0,0.01,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",9,0.01,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",10,0.56,1,0.72,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",10,0.09,0,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",10,0.23,1,0.97,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",10,0.04,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",10,0.92,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",10,0.3,0.81,0.49,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",10,1,0.55,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",10,0.23,0,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",10,0.24,0.16,0.1,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",10,0.97,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",10,0.01,0.02,0.01,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",10,0.02,0.02,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",11,0.52,0.99,0.7,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",11,0.15,0.01,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",11,0.23,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",11,0.01,1,0.02,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",11,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",11,0.31,0.81,0.44,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",11,1,0.49,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",11,0.16,0,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",11,0.23,0.08,0.08,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",11,1,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",11,0,0,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",11,0.03,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",12,0.55,1,0.69,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",12,0.13,0.01,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",12,0.29,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",12,0.02,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",12,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",12,0.23,0.75,0.4,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",12,1,0.57,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",12,0.21,0.01,0,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",12,0.25,0.08,0.04,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",12,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",12,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",12,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",13,0.55,1,0.73,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",13,0.17,0.01,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",13,0.28,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",13,0.03,1,0.06,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",13,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",13,0.21,0.79,0.45,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",13,1,0.47,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",13,0.17,0.01,0.02,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",13,0.23,0.08,0.05,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",13,0.98,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",13,0,0,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",13,0.01,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",14,0.62,1,0.75,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",14,0.18,0,0,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",14,0.37,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",14,0.02,1,0.04,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",14,0.97,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",14,0.28,0.75,0.45,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",14,1,0.57,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",14,0.13,0,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",14,0.25,0.07,0.05,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",14,1,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",14,0,0,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",14,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",15,0.46,1,0.6,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",15,0.13,0,0,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",15,0.34,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",15,0.01,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",15,0.95,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",15,0.24,0.73,0.48,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",15,1,0.45,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",15,0.24,0,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",15,0.3,0.09,0.07,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",15,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",15,0.02,0.02,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",15,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",16,0.43,1,0.64,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",16,0.09,0.01,0.03,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",16,0.22,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",16,0.01,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",16,0.97,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",16,0.28,0.77,0.45,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",16,1,0.52,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",16,0.24,0.01,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",16,0.15,0.13,0.05,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",16,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",16,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",16,0.01,0.01,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",17,0.46,1,0.61,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",17,0.18,0.02,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",17,0.3,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",17,0.02,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",17,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",17,0.24,0.81,0.48,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",17,1,0.55,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",17,0.14,0,0,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",17,0.3,0.07,0.07,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",17,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",17,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",17,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",18,0.51,1,0.69,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",18,0.21,0,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",18,0.32,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",18,0.04,1,0.05,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",18,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",18,0.29,0.85,0.56,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",18,1,0.49,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",18,0.21,0,0,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",18,0.23,0.12,0.13,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",18,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",18,0,0,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",18,0.03,0.01,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",19,0.42,1,0.56,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",19,0.17,0,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",19,0.22,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",19,0.03,1,0.06,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",19,0.99,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",19,0.29,0.78,0.4,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",19,1,0.53,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",19,0.16,0.01,0,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",19,0.28,0.17,0.05,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",19,0.98,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",19,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",19,0.01,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",20,0.51,1,0.66,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",20,0.18,0.01,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",20,0.38,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",20,0.04,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",20,0.94,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",20,0.24,0.8,0.44,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",20,1,0.55,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",20,0.2,0,0.02,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",20,0.28,0.13,0.07,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",20,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",20,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",20,0.01,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",21,0.44,1,0.56,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",21,0.19,0.01,0.06,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",21,0.34,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",21,0.02,1,0.04,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",21,0.99,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",21,0.29,0.78,0.46,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",21,1,0.62,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",21,0.11,0.03,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",21,0.27,0.08,0.08,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",21,1,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",21,0.02,0,0.01,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",21,0.03,0.01,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",22,0.56,1,0.68,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",22,0.14,0,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",22,0.24,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",22,0.01,1,0.02,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",22,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",22,0.25,0.73,0.41,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",22,1,0.53,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",22,0.16,0.02,0.02,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",22,0.29,0.08,0.1,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",22,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",22,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",22,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",23,0.46,1,0.6,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",23,0.16,0.01,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",23,0.26,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",23,0.02,1,0.04,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",23,0.96,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",23,0.2,0.72,0.38,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",23,1,0.59,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",23,0.12,0.01,0,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",23,0.28,0.07,0.04,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",23,0.98,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",23,0.01,0,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",23,0.04,0,0,50,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",1,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",1,0.14,0,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",1,0,1,0.2,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",1,0.5,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",1,1,0.11,0.57,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",1,0,0.03,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",1,0,0.18,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",1,0.1,0.01,0.01,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",1,0.07,0.05,0.06,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",1,0.03,0,0,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",1,0.26,0.76,0.26,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",1,0,0.03,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",2,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",2,0.18,0,0,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",2,0.02,1,0.2,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",2,0.52,0.02,0.02,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",2,1,0.13,0.67,100,1,2
"empPcond.2.nTips100.rr10.RData.tree.65.RData",2,0,0.07,0,100,10,2
"empPcond.2.nTips100.rr2.RData.tree.65.RData",2,0.01,0.21,0.01,100,2,2
"empPcond.2.nTips100.rr5.RData.tree.65.RData",2,0.18,0.01,0.02,100,5,2
"empPcond.3.nTips100.rr1.RData.tree.65.RData",2,0.06,0.01,0.01,100,1,3
"empPcond.3.nTips100.rr10.RData.tree.65.RData",2,0.02,0,0.01,100,10,3
"empPcond.3.nTips100.rr2.RData.tree.65.RData",2,0.25,0.74,0.22,100,2,3
"empPcond.3.nTips100.rr5.RData.tree.65.RData",2,0,0.06,0,100,5,3
"empPcond.1.nTips100.rr1.RData.tree.65.RData",3,1,1,1,100,1,1
"empPcond.1.nTips100.rr10.RData.tree.65.RData",3,0.2,0.01,0.03,100,10,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",3,0.01,0.99,0.22,100,2,1
"empPcond.1.nTips100.rr5.RData.tree.65.RData",3,0.57,0,0,100,5,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",3,1,0.11,0.69,100,1,2
